random_state,enlr_base_accuracy,enlr_base_recall,enlr_base_f1,enlr_base_pr_auc,enlr_single_pass_accuracy,enlr_single_pass_recall,enlr_single_pass_f1,enlr_single_pass_pr_auc,enlr_multi_agent_all_accuracy,enlr_multi_agent_all_recall,enlr_multi_agent_all_f1,enlr_multi_agent_all_pr_auc,enlr_multi_agent_lc_accuracy,enlr_multi_agent_lc_recall,enlr_multi_agent_lc_f1,enlr_multi_agent_lc_pr_auc,enlr_multi_agent_cc_accuracy,enlr_multi_agent_cc_recall,enlr_multi_agent_cc_f1,enlr_multi_agent_cc_pr_auc,enlr_multi_agent_ls_accuracy,enlr_multi_agent_ls_recall,enlr_multi_agent_ls_f1,enlr_multi_agent_ls_pr_auc
31,0.9271485486624929,0.8378378378378378,0.5923566878980893,0.7837076935746543,0.9317017643710871,0.8378378378378378,0.607843137254902,0.775368516248828,0.9282868525896414,0.8018018018018018,0.5855263157894737,0.7798437103927944,0.9277177006260672,0.8288288288288288,0.5916398713826366,0.7841087599914389,0.9237336368810473,0.8108108108108109,0.5732484076433121,0.7727799348228398,0.92942515651679,0.8288288288288288,0.5974025974025974,0.7727917336308909
32,0.9254410927717701,0.9099099099099099,0.6066066066066066,0.7827582629689858,0.9265793966989186,0.918918918918919,0.6126126126126126,0.7462393161310363,0.9271485486624929,0.918918918918919,0.6144578313253012,0.7782100837082508,0.9248719408081958,0.918918918918919,0.6071428571428572,0.7803951509180626,0.9265793966989186,0.9099099099099099,0.6102719033232629,0.7712963186409275,0.9282868525896414,0.9099099099099099,0.6158536585365854,0.7830356931608559
33,0.9254410927717701,0.8648648648648649,0.5944272445820434,0.7738060207809343,0.9248719408081958,0.8648648648648649,0.5925925925925926,0.7339300881298506,0.9265793966989186,0.8648648648648649,0.5981308411214953,0.7830695679920284,0.9265793966989186,0.8738738738738738,0.6006191950464397,0.7711022192471526,0.9265793966989186,0.8648648648648649,0.5981308411214953,0.7774105094243402,0.9237336368810473,0.8648648648648649,0.588957055214724,0.7758233466533555
34,0.92942515651679,0.8468468468468469,0.6025641025641025,0.7658177278549697,0.9288560045532157,0.8648648648648649,0.6056782334384858,0.7533126548002167,0.9317017643710871,0.8558558558558559,0.6129032258064516,0.7751571637963636,0.9299943084803642,0.8558558558558559,0.6070287539936101,0.7656252742603527,0.9277177006260672,0.8648648648648649,0.6018808777429466,0.7713048527604177,0.9328400682982356,0.8738738738738738,0.6217948717948717,0.7639739301765195
35,0.9413773477518498,0.8288288288288288,0.6411149825783972,0.8193995090024692,0.9470688673875924,0.8468468468468469,0.6690391459074733,0.8033218318604403,0.9425156516789983,0.8558558558558559,0.6529209621993127,0.8278089797133709,0.941946499715424,0.8468468468468469,0.6482758620689655,0.8229240574618695,0.9408081957882755,0.8468468468468469,0.6438356164383562,0.8232256959103627,0.9442231075697212,0.8648648648648649,0.6620689655172415,0.8271107333155064
36,0.9248719408081958,0.8738738738738738,0.5950920245398772,0.7883891304956965,0.9214570290267502,0.8468468468468469,0.5766871165644172,0.7809845112080863,0.9299943084803642,0.8378378378378378,0.6019417475728156,0.7997511789641406,0.9299943084803642,0.8558558558558559,0.6070287539936101,0.7999502195793903,0.92942515651679,0.8378378378378378,0.6000000000000001,0.8071657060967377,0.9277177006260672,0.8738738738738738,0.6043613707165109,0.7909519000984269
37,0.92942515651679,0.8558558558558559,0.605095541401274,0.7881753203029283,0.9299943084803642,0.9009009009009009,0.6191950464396284,0.7538443207041586,0.9311326124075128,0.8828828828828829,0.6182965299684543,0.7828567277345766,0.9271485486624929,0.8558558558558559,0.5974842767295597,0.7871839338415566,0.9260102447353443,0.8468468468468469,0.5911949685534591,0.7848748002159978,0.9311326124075128,0.8558558558558559,0.6109324758842444,0.7877263631128668
38,0.9311326124075128,0.8648648648648649,0.6134185303514377,0.8098317032095291,0.9402390438247012,0.918918918918919,0.6601941747572816,0.8159585233346867,0.9373932840068299,0.9009009009009009,0.6451612903225806,0.8116475267905974,0.9317017643710871,0.8738738738738738,0.6178343949044586,0.8117770054812863,0.9351166761525327,0.9009009009009009,0.6369426751592357,0.8126989136026045,0.9368241320432555,0.8648648648648649,0.6336633663366337,0.8011143720145194
39,0.9299943084803642,0.8828828828828829,0.6144200626959248,0.7873587172634222,0.9373932840068299,0.8558558558558559,0.6333333333333334,0.8028818069433532,0.9322709163346613,0.8648648648648649,0.617363344051447,0.8018836581468178,0.9311326124075128,0.8648648648648649,0.6134185303514377,0.7965002365182338,0.9373932840068299,0.8738738738738738,0.6381578947368421,0.8072452112756581,0.9362549800796812,0.8828828828828829,0.6363636363636364,0.7902704724812157
40,0.9385315879339784,0.8558558558558559,0.6375838926174497,0.8138493644846465,0.9447922595332954,0.8648648648648649,0.6643598615916955,0.8190805174029856,0.9396698918611269,0.8738738738738738,0.6466666666666666,0.8203116095928686,0.9391007398975526,0.8648648648648649,0.6421404682274248,0.815201344330885,0.941946499715424,0.8738738738738738,0.6554054054054054,0.8266967876858945,0.9408081957882755,0.8738738738738738,0.651006711409396,0.8190621425680634
41,0.92942515651679,0.8378378378378378,0.6000000000000001,0.7729658367442339,0.9345475241889585,0.8738738738738738,0.627831715210356,0.7643731667636817,0.9277177006260672,0.8648648648648649,0.6018808777429466,0.7732450353745639,0.92942515651679,0.8648648648648649,0.6075949367088609,0.7766144696208447,0.9339783722253842,0.8918918918918919,0.6305732484076433,0.7745866334786011,0.9277177006260672,0.8378378378378378,0.5942492012779552,0.7681215582745402
42,0.9038133181559477,0.8738738738738738,0.534435261707989,0.7031721012559928,0.9072282299373933,0.8828828828828829,0.5459610027855153,0.6704160870819148,0.9066590779738191,0.8558558558558559,0.536723163841808,0.6822723748475675,0.9112122936824132,0.8738738738738738,0.5542857142857142,0.7049796475224733,0.9089356858281161,0.8558558558558559,0.5428571428571429,0.6755837805019742,0.9038133181559477,0.8918918918918919,0.5395095367847411,0.6964095311353702
43,0.9180421172453045,0.9009009009009009,0.5813953488372093,0.8067214985264383,0.9208878770631759,0.8918918918918919,0.5875370919881306,0.8021539153061834,0.919180421172453,0.918918918918919,0.5895953757225434,0.8077478008521239,0.9197495731360273,0.918918918918919,0.5913043478260869,0.8045306461859384,0.9220261809903244,0.9279279279279279,0.6005830903790087,0.8102396441962965,0.9180421172453045,0.9099099099099099,0.5838150289017341,0.8083197499883981
44,0.9271485486624929,0.8288288288288288,0.5897435897435896,0.773872890241606,0.9351166761525327,0.8558558558558559,0.625,0.768380436440805,0.9373932840068299,0.8378378378378378,0.6283783783783783,0.7845847590497177,0.9339783722253842,0.8288288288288288,0.6133333333333333,0.7824574650923515,0.93340922026181,0.8288288288288288,0.6112956810631229,0.7836253496563752,0.9288560045532157,0.8198198198198198,0.5928338762214984,0.7722370690238938
45,0.9317017643710871,0.8828828828828829,0.620253164556962,0.793515826676462,0.9322709163346613,0.9009009009009009,0.6269592476489029,0.7856131285471184,0.9317017643710871,0.8828828828828829,0.620253164556962,0.7865249761330787,0.9317017643710871,0.8918918918918919,0.6226415094339622,0.7918023782974625,0.9322709163346613,0.8828828828828829,0.6222222222222223,0.7954808750569851,0.9345475241889585,0.8828828828828829,0.630225080385852,0.7916374897104221
46,0.9265793966989186,0.8468468468468469,0.5930599369085174,0.7673167779643777,0.9299943084803642,0.8648648648648649,0.6095238095238095,0.8024089265628818,0.9231644849174729,0.8558558558558559,0.5846153846153846,0.7820205897750799,0.9237336368810473,0.8288288288288288,0.5786163522012578,0.7769182685174112,0.9231644849174729,0.8558558558558559,0.5846153846153846,0.7826624796954376,0.9260102447353443,0.8738738738738738,0.5987654320987654,0.7717030735177628
47,0.935685828116107,0.8828828828828829,0.6343042071197411,0.8226202494647569,0.9391007398975526,0.9099099099099099,0.6537216828478964,0.8027800751539281,0.9391007398975526,0.9009009009009009,0.6514657980456026,0.8141564752029778,0.9385315879339784,0.9009009009009009,0.6493506493506493,0.8156240015887143,0.9408081957882755,0.918918918918919,0.6623376623376624,0.8282908653287395,0.9385315879339784,0.8918918918918919,0.6470588235294117,0.8135660108966513
48,0.9373932840068299,0.9009009009009009,0.6451612903225806,0.8045962684410332,0.9260102447353443,0.9009009009009009,0.6060606060606061,0.7779267995010527,0.92942515651679,0.9009009009009009,0.6172839506172839,0.7980771136172083,0.9322709163346613,0.9009009009009009,0.6269592476489029,0.7976229640895703,0.9305634604439386,0.9009009009009009,0.6211180124223602,0.7962071082311205,0.9339783722253842,0.8918918918918919,0.6305732484076433,0.8091712116683456
49,0.9351166761525327,0.8288288288288288,0.6174496644295303,0.7706855787328406,0.9385315879339784,0.8828828828828829,0.6447368421052633,0.7684493596419646,0.9368241320432555,0.8198198198198198,0.6211604095563139,0.771616600201851,0.935685828116107,0.8288288288288288,0.6195286195286195,0.7769798837107256,0.935685828116107,0.8108108108108109,0.614334470989761,0.7695980535635014,0.9351166761525327,0.8468468468468469,0.6225165562913908,0.7712704294834903
50,0.9317017643710871,0.8738738738738738,0.6178343949044586,0.844685073439831,0.9317017643710871,0.8648648648648649,0.6153846153846153,0.8430157158100019,0.9260102447353443,0.8738738738738738,0.5987654320987654,0.8493707518095778,0.9277177006260672,0.8828828828828829,0.6068111455108359,0.8424873653548391,0.9254410927717701,0.8738738738738738,0.596923076923077,0.8463055856816913,0.9311326124075128,0.8648648648648649,0.6134185303514377,0.8471140867576705
