random_state,lr_base_accuracy,lr_base_recall,lr_base_f1,lr_base_pr_auc,lr_single_pass_accuracy,lr_single_pass_recall,lr_single_pass_f1,lr_single_pass_pr_auc,lr_multi_agent_all_accuracy,lr_multi_agent_all_recall,lr_multi_agent_all_f1,lr_multi_agent_all_pr_auc,lr_multi_agent_lc_accuracy,lr_multi_agent_lc_recall,lr_multi_agent_lc_f1,lr_multi_agent_lc_pr_auc,lr_multi_agent_cc_accuracy,lr_multi_agent_cc_recall,lr_multi_agent_cc_f1,lr_multi_agent_cc_pr_auc,lr_multi_agent_ls_accuracy,lr_multi_agent_ls_recall,lr_multi_agent_ls_f1,lr_multi_agent_ls_pr_auc
40,0.9669891861126921,0.8378378378378378,0.7622950819672131,0.8879639524477789,0.9704040978941377,0.8378378378378378,0.7815126050420169,0.8912478218119859,0.9698349459305634,0.8468468468468469,0.7800829875518672,0.8898978671690391,0.9698349459305634,0.8558558558558559,0.7818930041152263,0.8895395954092339,0.9675583380762663,0.8468468468468469,0.7673469387755102,0.8889581070996259,0.9698349459305634,0.8648648648648649,0.7836734693877551,0.8924035926280288
41,0.9658508821855435,0.8288288288288288,0.7540983606557377,0.8879289028002713,0.9675583380762663,0.8378378378378378,0.7654320987654323,0.8938810801337872,0.9675583380762663,0.8288288288288288,0.7634854771784232,0.8894926444294037,0.9675583380762663,0.8288288288288288,0.7634854771784232,0.8875577898065096,0.9652817302219693,0.8288288288288288,0.7510204081632653,0.8914838195914367,0.9675583380762663,0.8288288288288288,0.7634854771784232,0.8888962439330159
42,0.9658508821855435,0.8558558558558559,0.7600000000000001,0.8147458508739163,0.9652817302219693,0.8648648648648649,0.758893280632411,0.8213523408154381,0.9652817302219693,0.8648648648648649,0.758893280632411,0.8127926876976861,0.9664200341491178,0.8738738738738738,0.766798418972332,0.8145079342282077,0.9641434262948207,0.8558558558558559,0.7509881422924902,0.808701176478672,0.9681274900398407,0.8828828828828829,0.7777777777777778,0.90017352435006
43,0.9658508821855435,0.8918918918918919,0.7674418604651163,0.9153460044389271,0.9664200341491178,0.8738738738738738,0.766798418972332,0.9122331130093351,0.9664200341491178,0.8918918918918919,0.7704280155642024,0.9224500826589858,0.9652817302219693,0.8918918918918919,0.7644787644787644,0.9189958987176451,0.9652817302219693,0.8918918918918919,0.7644787644787644,0.9234904604921427,0.9664200341491178,0.9009009009009009,0.7722007722007722,0.9196578807212257
44,0.9664200341491178,0.8198198198198198,0.7551867219917012,0.8798770877285008,0.9692657939669892,0.8468468468468469,0.7768595041322315,0.8832651007997141,0.9669891861126921,0.8288288288288288,0.7603305785123967,0.8823434281856303,0.9675583380762663,0.8108108108108109,0.759493670886076,0.8824657019269951,0.9692657939669892,0.8378378378378378,0.7749999999999999,0.8837927975483445,0.9664200341491178,0.8288288288288288,0.757201646090535,0.8767093762961167
45,0.9669891861126921,0.8738738738738738,0.7698412698412698,0.8994485719900687,0.964712578258395,0.8918918918918919,0.7615384615384615,0.8919906977290775,0.9686966420034149,0.8828828828828829,0.7808764940239042,0.8948869589437386,0.9681274900398407,0.8828828828828829,0.7777777777777778,0.8949596686877678,0.9658508821855435,0.8828828828828829,0.7656250000000001,0.8984184958389312,0.9698349459305634,0.9009009009009009,0.7905138339920947,0.9013708353899834
46,0.9630051223676722,0.8468468468468469,0.7430830039525691,0.8984275085897822,0.9669891861126921,0.8468468468468469,0.7642276422764227,0.9071643270385438,0.9675583380762663,0.8558558558558559,0.7692307692307693,0.9029883327608279,0.9669891861126921,0.8558558558558559,0.7661290322580645,0.8998986229884532,0.9675583380762663,0.8648648648648649,0.7710843373493975,0.9014909753096905,0.9635742743312464,0.8648648648648649,0.7500000000000001,0.8991008302922087
47,0.9760956175298805,0.9099099099099099,0.8278688524590164,0.9343854678336477,0.9789413773477519,0.9099099099099099,0.8451882845188285,0.9315809716216319,0.9755264655663062,0.918918918918919,0.8259109311740892,0.9359350581750707,0.9760956175298805,0.9099099099099099,0.8278688524590164,0.9333268321050153,0.9766647694934547,0.9279279279279279,0.834008097165992,0.938065374389768,0.9766647694934547,0.918918918918919,0.8326530612244898,0.9351739228778487
48,0.9715424018212863,0.8828828828828829,0.7967479674796748,0.9259140802075972,0.9698349459305634,0.9099099099099099,0.792156862745098,0.9273932753284134,0.9721115537848606,0.9009009009009009,0.8032128514056225,0.9219302716363104,0.9704040978941377,0.8828828828828829,0.7903225806451613,0.9212282851581096,0.9732498577120091,0.918918918918919,0.8127490039840637,0.918227958515198,0.970973249857712,0.9009009009009009,0.796812749003984,0.9308326026578579
49,0.9686966420034149,0.8288288288288288,0.7698744769874477,0.8963018121447359,0.9698349459305634,0.8648648648648649,0.7836734693877551,0.8978613481791734,0.9692657939669892,0.8288288288288288,0.773109243697479,0.8892554615180771,0.970973249857712,0.8198198198198198,0.7811158798283261,0.8918750794674151,0.9675583380762663,0.8198198198198198,0.7615062761506276,0.8865487072188877,0.9692657939669892,0.8468468468468469,0.7768595041322315,0.8906622540151757
50,0.9721115537848606,0.9009009009009009,0.8032128514056225,0.9292474343457142,0.9698349459305634,0.9099099099099099,0.792156862745098,0.9234449515618206,0.9704040978941377,0.8918918918918919,0.7919999999999999,0.9286457955484634,0.970973249857712,0.8918918918918919,0.7951807228915664,0.9292604970703823,0.9681274900398407,0.9009009009009009,0.78125,0.9271351369949096,0.970973249857712,0.9009009009009009,0.796812749003984,0.9293757006319863
