model,comparison,group_A,group_B,metric,n_iters,mean_A,mean_B,mean_diff,t_statistic,p_value,cohens_d,ci_95_lower,ci_95_upper,significant
MLP,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,pr_auc,50,0.913814,0.912924,-0.00089,-1.0976,0.2777,-0.1552,-0.002521,0.00074,No
MLP,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,accuracy,50,0.98025,0.980558,0.000307,0.8502,0.3994,0.1202,-0.000419,0.001034,No
MLP,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,recall,50,0.827387,0.832613,0.005225,1.8078,0.0768,0.2557,-0.000583,0.011034,No
MLP,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,f1,50,0.841015,0.844034,0.003019,1.0904,0.2809,0.1542,-0.002545,0.008583,No
MLP,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,pr_auc,50,0.908484,0.912924,0.00444,3.4246,0.0013,0.4843,0.001835,0.007045,Yes
BERT_MLP,base → single_pass,base,single_pass,accuracy,50,0.973546,0.974115,0.000569,1.3412,0.186,0.1897,-0.000284,0.001422,No
BERT_MLP,base → single_pass,base,single_pass,recall,50,0.753694,0.76018,0.006486,1.4429,0.1554,0.2041,-0.002548,0.015521,No
BERT_MLP,base → single_pass,base,single_pass,f1,50,0.78253,0.787296,0.004766,1.6487,0.1056,0.2332,-0.001043,0.010576,No
BERT_MLP,base → single_pass,base,single_pass,pr_auc,50,0.841686,0.849598,0.007912,2.9572,0.0048,0.4182,0.002536,0.013289,Yes
BERT_MLP,base → multi_agent_all,base,multi_agent_all,accuracy,50,0.973546,0.974035,0.000489,1.0642,0.2925,0.1505,-0.000435,0.001414,No
BERT_MLP,base → multi_agent_all,base,multi_agent_all,recall,50,0.753694,0.761802,0.008108,1.8363,0.0724,0.2597,-0.000765,0.016981,No
BERT_MLP,base → multi_agent_all,base,multi_agent_all,f1,50,0.78253,0.787144,0.004614,1.4697,0.148,0.2078,-0.001695,0.010923,No
BERT_MLP,base → multi_agent_all,base,multi_agent_all,pr_auc,50,0.841686,0.847925,0.006239,2.4945,0.016,0.3528,0.001213,0.011265,Yes
