random_state,mlp_base_accuracy,mlp_base_recall,mlp_base_f1,mlp_base_pr_auc,mlp_single_pass_accuracy,mlp_single_pass_recall,mlp_single_pass_f1,mlp_single_pass_pr_auc,mlp_multi_agent_all_accuracy,mlp_multi_agent_all_recall,mlp_multi_agent_all_f1,mlp_multi_agent_all_pr_auc,mlp_multi_agent_lc_accuracy,mlp_multi_agent_lc_recall,mlp_multi_agent_lc_f1,mlp_multi_agent_lc_pr_auc,mlp_multi_agent_cc_accuracy,mlp_multi_agent_cc_recall,mlp_multi_agent_cc_f1,mlp_multi_agent_cc_pr_auc,mlp_multi_agent_ls_accuracy,mlp_multi_agent_ls_recall,mlp_multi_agent_ls_f1,mlp_multi_agent_ls_pr_auc
39,0.9806488332384746,0.8288288288288288,0.8440366972477064,0.9303490574040548,0.9840637450199203,0.8738738738738738,0.8738738738738738,0.9478340807997048,0.983494593056346,0.8648648648648649,0.8687782805429864,0.9366375825327125,0.9817871371656233,0.8828828828828829,0.8596491228070176,0.9298217760816967,0.9829254410927718,0.8648648648648649,0.8648648648648649,0.9374683612294308,0.981217985202049,0.8558558558558559,0.852017937219731,0.9311001282889428
40,0.9783722253841776,0.8108108108108109,0.8256880733944955,0.8955098911540059,0.9800796812749004,0.7837837837837838,0.8325358851674641,0.8908934501845677,0.977233921457029,0.7747747747747747,0.8113207547169811,0.879705776154188,0.9778030734206034,0.8018018018018018,0.8202764976958524,0.8787468866969333,0.9760956175298805,0.7837837837837838,0.8055555555555555,0.8842457088782509,0.9783722253841776,0.7927927927927928,0.822429906542056,0.8791455784163031
41,0.9823562891291975,0.8288288288288288,0.8558139534883721,0.9165166533574173,0.981217985202049,0.8018018018018018,0.8436018957345972,0.9089526621516604,0.9823562891291975,0.8198198198198198,0.8544600938967136,0.9185824280247479,0.9789413773477519,0.8108108108108109,0.8294930875576036,0.91377360877564,0.9829254410927718,0.8198198198198198,0.8584905660377359,0.9140159047741834,0.981217985202049,0.8288288288288288,0.847926267281106,0.9160703820938411
42,0.9817871371656233,0.8648648648648649,0.8571428571428571,0.8361139262401588,0.983494593056346,0.8738738738738738,0.8699551569506726,0.9400715146868263,0.9840637450199203,0.8468468468468469,0.8703703703703703,0.9330220927704208,0.9829254410927718,0.8288288288288288,0.8598130841121495,0.930758720047742,0.9829254410927718,0.8378378378378378,0.8611111111111112,0.9305134639357238,0.9789413773477519,0.8378378378378378,0.8340807174887893,0.8836510416714835
43,0.9800796812749004,0.8198198198198198,0.8387096774193548,0.9270636529022501,0.9852020489470689,0.8468468468468469,0.8785046728971964,0.9372044124858555,0.9857712009106432,0.8378378378378378,0.8815165876777251,0.9397188321376025,0.9863403528742174,0.8558558558558559,0.8878504672897196,0.9390171722196567,0.9863403528742174,0.8918918918918919,0.8918918918918919,0.9399593362858666,0.983494593056346,0.8288288288288288,0.863849765258216,0.9325316853704341
44,0.9800796812749004,0.7927927927927928,0.8341232227488151,0.900852686005138,0.9817871371656233,0.8198198198198198,0.850467289719626,0.9108041524979955,0.9783722253841776,0.8108108108108109,0.8256880733944955,0.909276958751178,0.9783722253841776,0.8108108108108109,0.8256880733944955,0.9072981808996903,0.9789413773477519,0.8288288288288288,0.8325791855203618,0.9046780457218065,0.974957313602732,0.7747747747747747,0.7962962962962963,0.8918488242903895
45,0.9783722253841776,0.8378378378378378,0.8303571428571428,0.9017315928770945,0.9778030734206034,0.8018018018018018,0.8202764976958524,0.9055618325993381,0.9766647694934547,0.8018018018018018,0.812785388127854,0.9027847227235614,0.977233921457029,0.8198198198198198,0.8198198198198198,0.9059480026061699,0.9778030734206034,0.8378378378378378,0.8266666666666665,0.9046505604483085,0.9783722253841776,0.8018018018018018,0.8240740740740742,0.8984929046693799
46,0.9829254410927718,0.8288288288288288,0.8598130841121495,0.9304171693249278,0.9823562891291975,0.8198198198198198,0.8544600938967136,0.9344485256759303,0.981217985202049,0.8198198198198198,0.8465116279069766,0.9311236054929908,0.9806488332384746,0.8288288288288288,0.8440366972477064,0.9323511352086812,0.9817871371656233,0.8378378378378378,0.8532110091743118,0.9332288789747714,0.9795105293113261,0.8558558558558559,0.8407079646017699,0.9226456609574074
47,0.9852020489470689,0.8738738738738738,0.8818181818181818,0.9489660745291547,0.9880478087649402,0.9279279279279279,0.9074889867841409,0.956154986716113,0.9857712009106432,0.9099099099099099,0.8898678414096917,0.9571600356612179,0.9857712009106432,0.8828828828828829,0.8868778280542986,0.9575555228144029,0.9863403528742174,0.9099099099099099,0.8938053097345133,0.9574157516119437,0.9857712009106432,0.8918918918918919,0.8878923766816144,0.9552315568566694
48,0.9846328969834945,0.8648648648648649,0.8767123287671232,0.9250685009697983,0.9817871371656233,0.8738738738738738,0.8584070796460177,0.9279867965235828,0.9840637450199203,0.8738738738738738,0.8738738738738738,0.925832954087043,0.9852020489470689,0.8648648648648649,0.8807339449541284,0.9271195169257476,0.983494593056346,0.8738738738738738,0.8699551569506726,0.929009023304566,0.9874786568013659,0.8828828828828829,0.8990825688073394,0.932303656220302
49,0.9755264655663062,0.7927927927927928,0.8036529680365296,0.9006143801558295,0.9783722253841776,0.8018018018018018,0.8240740740740742,0.9093494595200573,0.9755264655663062,0.7927927927927928,0.8036529680365296,0.8998771700422731,0.9743881616391576,0.7837837837837838,0.7945205479452055,0.8946608329390638,0.9766647694934547,0.8108108108108109,0.8144796380090498,0.9070541871599141,0.974957313602732,0.7927927927927928,0.8,0.8935329159080125
50,0.9840637450199203,0.8738738738738738,0.8738738738738738,0.9455895602176584,0.9852020489470689,0.8918918918918919,0.8839285714285714,0.942854041693452,0.9852020489470689,0.8828828828828829,0.8828828828828829,0.9439481920848493,0.9846328969834945,0.8738738738738738,0.8778280542986425,0.941870863669671,0.9857712009106432,0.8918918918918919,0.8878923766816144,0.9466996089600371,0.9846328969834945,0.8828828828828829,0.8789237668161436,0.935728253137813
